File name (local);Journal;Database;CC Type;Special CC Type;Attribute/Variable;Special Data Type;Multivariate;Distribution-free;Distribution;Computation method;Performance metric;Economic Design
wang2014;jqt;Taylor&Francis;Shewhart;;Variable;Profile / Surface;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
wang2015;ijpr;Taylor&Francis;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
wang2017-taylor;tc;Taylor&Francis;Shewhart;;Variable;Profile / Surface, Autocorrelated;y;n;Regression, Normal;(Monte Carlo) Simulation;FAR;n
wang2018;jqt;Taylor&Francis;CUSUM;Adaptive;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
weiss2011;iise;Taylor&Francis;CUSUM;;Attribute;Autocorrelated;n;n;Time Series Model, Poisson;Markov Chain Approach, Numerical Integration;ARL;n
weiss2012;jqt;Taylor&Francis;CUSUM;;Attribute;Autocorrelated;n;n;Time Series Model, Poisson;(Monte Carlo) Simulation, Markov Chain Approach;ARL;n
weiss2015;iise;Taylor&Francis;Shewhart;;Attribute;Autocorrelated;n;n;Time Series Model, Poisson, Binomial;Markov Chain Approach;ARL;n
woodall2019;qe;Taylor&Francis;Shewhart, CUSUM, EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation, Analytically;ARL;n
xian2017;tc;Taylor&Francis;CUSUM;Adaptive;Variable;;y;y;Normal, Non-Normal;(Monte Carlo) Simulation;-;n
xian2019;jqt;Taylor&Francis;CUSUM;;Variable;;y;y;Normal, t, Poisson;(Monte Carlo) Simulation;ARL;n
xiang2021;jqt;Taylor&Francis;EWMA;;Attribute;;y;n;Regression, Multinomial;(Monte Carlo) Simulation;ARL;n
xie2011;jqt;Taylor&Francis;EWMA;;Variable;TBE;y;n;Exponential;(Monte Carlo) Simulation;ARL;n
xu2012;jqt;Taylor&Francis;Shewhart;;Variable;Profile / Surface;y;n;Regression, Normal;(Monte Carlo) Simulation, Analytically;ATS;n
xu2018;jqt;Taylor&Francis;Shewhart, EWMA;;Variable;;n;n;Weibull;(Monte Carlo) Simulation;ARL;n
xue2020;jqt;Taylor&Francis;CUSUM;;Variable;Autocorrelated;y;y;Times Series Model, Normal;(Monte Carlo) Simulation;ARL;n
yan2017;tc;Taylor&Francis;Shewhart;;Variable;Profile / Surface;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
yang2019;iise;Taylor&Francis;CUSUM;;Variable;;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
yang2020;tc;Taylor&Francis;EWMA;Adaptive;Variable;Auxiliary, Autocorrelated;y;y;Regression, Time Series Model;(Monte Carlo) Simulation;ARL;n
yeong2017;jqt;Taylor&Francis;EWMA;Adaptive;Variable;;n;n;Normal;Markov Chain Approach, Numerical Integration;ATS;n
you2019;tc;Taylor&Francis;EWMA;;Variable;Autocorrelated;y;y;Regression, Time Series Model, Normal, t, Gamma, Poisson;(Monte Carlo) Simulation;ATS;n
yu2012;tc;Taylor&Francis;Shewhart;;Variable;Profile / Surface;y;y;Regression, Normal;(Monte Carlo) Simulation;FAR;n
yu2022;jqt;Taylor&Francis;CUSUM;;Variable;Autocorrelated;y;n;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
zang2017;tc;Taylor&Francis;Shewhart;;Variable;Profile / Surface;y;y;Regression, Normal;(Monte Carlo) Simulation;FAR, classification;n
zang2018;jqt;Taylor&Francis;CUSUM;;Variable;Profile / Surface;y;y;-;(Monte Carlo) Simulation;ARL;n
zhang2011;iise;Taylor&Francis;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL;n
zhang2016;jqt;Taylor&Francis;Shewhart;;Variable;;y;y;Normal, t, Gamma;(Monte Carlo) Simulation;ARL, FAR;n
zhang2018;jqt;Taylor&Francis;EWMA;;Variable;Profile / Surface, Autocorrelated;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
zhang2019;jqt;Taylor&Francis;EWMA;;Variable;;y;y;Normal, t, Gamma;(Monte Carlo) Simulation;ARL;n
zhao2020;tc;Taylor&Francis;EWMA;;Variable;;y;y;-;(Monte Carlo) Simulation;ARL;n
zou2010;jqt;Taylor&Francis;EWMA;;Variable;;n;y;Normal, t, Chi-squared;(Monte Carlo) Simulation;ARL, comparison;n
zou2011;tc;Taylor&Francis;EWMA;;Variable;;y;y;Normal, t, Gamma;Markov Chain Approach;ARL;n
zou2014;tc;Taylor&Francis;CUSUM;;Variable;;n;n;Normal;Markov Chain Approach;ARL;n
zwetsloot2016;qe;Taylor&Francis;Shewhart, CUSUM, EWMA;;Variable;;n;n;Normal;Markov Chain Approach, Numerical Integration, Analytically;ARL;n
abbas2010;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
abbas2012;qrei;Wiley;Shewhart, EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
abbas2013;qrei;Wiley;memory-type;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
abbas2020;qrei;Wiley;EWMA;;Variable;;n;n;Normal, t, Gamma, Laplace, Exponential, Contaminated Normal, Lognormal;(Monte Carlo) Simulation;ARL;n
abbas2020-1;qrei;Wiley;memory-type;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
abbasi2012;qrei;Wiley;memory-type;;Variable;;n;y;-;(Monte Carlo) Simulation;ARL;n
abbasi2017;qrei;Wiley;memory-type;;Attribute;;n;n;Poisson;(Monte Carlo) Simulation;ARL;n
abdella2016;qrei;Wiley;CUSUM;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
abid2016;qrei;Wiley;CUSUM;;Variable;;n;y;Normal, t;(Monte Carlo) Simulation;ARL;n
adegoke2018-wiley;qrei;Wiley;EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation, Numerical Integration;ARL, overall, comparison;n
alevizakos2018;qrei;Wiley;memory-type;;Variable;TBE;n;n;Gamma, Weibull, Lognormal;(Monte Carlo) Simulation;ARL;n
alevizakos2020;qrei;Wiley;EWMA;;Variable;;y;y;Normal, t, Logistic, Exponential,  contaminated normal;(Monte Carlo) Simulation, Analytically;ARL, overall, comparison;n
alevizakos2020-1;qrei;Wiley;memory-type;;Variable;TBE;n;n;Gamma, Weibull, Lognormal;(Monte Carlo) Simulation;ARL;n
alevizakos2020-2;qrei;Wiley;memory-type;;Variable;;n;y;Normal, t, Logistic, Laplace, Contaminated Normal, Uniform;(Monte Carlo) Simulation, Analytically;ARL;n
alevizakos2021;qrei;Wiley;memory-type;;Variable;;n;n;Normal, t, Logistic, Laplace, Gamma;(Monte Carlo) Simulation, Analytically;ARL, overall, comparison;n
ali2021;qrei;Wiley;memory-type;;Variable;;n;y;Normal, t, Logistic, Laplace, Contaminated Normal;(Monte Carlo) Simulation;ARL;n
aly2014;qrei;Wiley;EWMA;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
amir2020;qrei;Wiley;memory-type;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
anwar2020;qrei;Wiley;memory-type;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation, Numerical Integration;ARL, overall, comparison;n
arshad2021;qrei;Wiley;EWMA;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
castagliola2011;qrei;Wiley;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ARL, ASS;n
castagliola2012;qrei;Wiley;Shewhart;Adaptive;Variable;;n;n;Normal;Analytically;ATS;n
castagliola2013;qrei;Wiley;Shewhart;Synthetic;Variable and Attribute;;n;n;Poisson, Binomial;Markov Chain Approach, Analytically;ARL;n
celano2011wiley;qrei;Wiley;Shewhart;;Variable;;n;n;Normal;Analytically;ARL;y
celano2011-1;qrei;Wiley;Shewhart, EWMA;;Variable;;n;n;Normal;Markov Chain Approach, Analytically;ARL;n
celano2014;qrei;Wiley;Shewhart;;Variable;;y;n;Normal;Analytically;ARL, overall;n
chatterjee2020;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
chatterjee2021;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL, comparison;n
chen2010;qrei;Wiley;Shewhart;;Variable;Autocorrelated;y;n;Normal;(Monte Carlo) Simulation;ARL;n
cheng2014;qrei;Wiley;Shewhart;;Variable;;y;y;Normal, t, Gamma;(Monte Carlo) Simulation;FAR, classification;n
chong2018-wiley;qrei;Wiley;Shewhart;Adaptive;Variable;;y;n;Normal;Markov Chain Approach, Numerical Integration;ARL, ASS, overall, misc.;n
chowdhury2014;qrei;Wiley;CUSUM;;Variable;;n;y;Normal, Cauchy, Lognormal;(Monte Carlo) Simulation;ARL;n
dai2010;qrei;Wiley;CUSUM;Adaptive;Variable;;y;n;Normal;Markov Chain Approach, Analytically;ARL, comparison;n
does2020;qrei;Wiley;Shewhart, CUSUM, EWMA;;Variable;;n;y;Normal;Analytically;ARL, FAR;n
ductran2021;qrei;Wiley;EWMA;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ATS;n
dunguyen2020;qrei;Wiley;Shewhart;;Variable;;y;n;Normal;Analytically;ARL, overall;n
gu2013;qrei;Wiley;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation, Analytically;ARL;n
haq2013;qrei;Wiley;CUSUM, EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2013-1;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2014;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2014-1;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2014-2;qrei;Wiley;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2014-3;qrei;Wiley;CUSUM, EWMA;Synthetic;Variable and Attribute;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2017;qrei;Wiley;CUSUM, EWMA;Synthetic;Variable and Attribute;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2017-1;qrei;Wiley;EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2017-2;qrei;Wiley;EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2018;qrei;Wiley;EWMA;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2018-1;qrei;Wiley;CUSUM;Adaptive;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2018-2;qrei;Wiley;EWMA;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2019;qrei;Wiley;CUSUM, EWMA;Adaptive;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL, ATS;n
haq2020;qrei;Wiley;CUSUM, EWMA;Adaptive;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ATS;n
haq2020-1;qrei;Wiley;EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2021;qrei;Wiley;EWMA;Adaptive;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL, ATS;n
huberts2018;qrei;Wiley;Shewhart;;Variable;;n;n;Normal, t, Uniform, Gamma, logistic, Chi-squared, Lognormal;(Monte Carlo) Simulation;ARL, overall;n
hussain2020;qrei;Wiley;CUSUM, EWMA;;Variable;Auxiliary;y;n;Normal, t;(Monte Carlo) Simulation, Numerical Integration;ARL, overall, comparison;n
jardim2018;pom;Wiley;Shewhart;;Variable;;n;n;Normal;Numerical Integration, Analytically;ARL, FAR;n
khedmati2015;qrei;Wiley;Shewhart;;Variable;Profile / Surface, Autocorrelated;y;n;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
khoo2011;qrei;Wiley;Shewhart;Synthetic;Variable and Attribute;;y;n;Normal;Markov Chain Approach;ARL;n
kinat2019;qrei;Wiley;Shewhart;;Variable;Profile / Surface;y;n;Regression, Inverse Gaussian;(Monte Carlo) Simulation;ARL;n
knoth2021;qrei;Wiley;memory-type;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
koutras2019;qrei;Wiley;memory-type;;Variable;;y;y;Normal, t, Copula;Analytically;ARL, FAR;n
kumar2019;qrei;Wiley;Shewhart;;Variable;TBE;n;n;Gamma;(Monte Carlo) Simulation, Numerical Integration;ARL, misc.;n
kumar2019-1;qrei;Wiley;Shewhart;;Variable;TBE;n;n;Exponential;Numerical Integration, Analytically;ARL, FAR, misc.;n
li2020;qrei;Wiley;EWMA;;Variable;Autocorrelated;n;n;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
mahmood2020;qrei;Wiley;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
malela-majika2017;qrei;Wiley;CUSUM, EWMA;;Variable;;n;y;Normal, t, Gamma, Laplace;(Monte Carlo) Simulation, Analytically;ARL, overall, comparison;n
nguyen2019;qrei;Wiley;CUSUM;Adaptive;Variable;;y;n;Normal;Markov Chain Approach;ATS, overall;n
noorossana2010;qrei;Wiley;Shewhart, EWMA;;Variable;Profile / Surface;y;n;Regression, Normal, t, Gamma;(Monte Carlo) Simulation;ARL;n
ou2011;qrei;Wiley;Shewhart, CUSUM, memory-type;Adaptive;Variable;;n;n;Normal;Numerical Integration, Analytically;ATS, overall, comparison;n
panagiotidou2010;pom;Wiley;Shewhart;;Variable;;n;n;Normal;Analytically;-;y
paulino2016;qrei;Wiley;Shewhart;;Attribute;;n;n;Poisson;Analytically;ARL;n
qiu2014;qrei;Wiley;CUSUM;;Variable;;n;n;Normal, t, Chi-squared;(Monte Carlo) Simulation;ARL;n
rakitzis2015;qrei;Wiley;CUSUM;;Attribute;;n;n;Binomial;Markov Chain Approach;ARL;n
raza2019;qrei;Wiley;EWMA;;Variable;;n;y;Normal, t, Laplace, Logistic;(Monte Carlo) Simulation;ARL, overall, comparison;n
riaz2010;qrei;Wiley;CUSUM;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
riaz2019;qrei;Wiley;Shewhart;;Variable;Profile / Surface;n;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
riaz2020;qrei;Wiley;memory-type;;Variable;;n;y;-;(Monte Carlo) Simulation;ARL;n
rizzo2020;qrei;Wiley;Shewhart;;Variable;TBE;n;n;Erlang;(Monte Carlo) Simulation;ARL, ASS, FAR;n
sabahno2018;qrei;Wiley;Shewhart;Adaptive;Variable;;y;n;Normal;Markov Chain Approach;ARL, ATS;n
saleh2012;qrei;Wiley;EWMA;;Variable;;n;n;Normal;Markov Chain Approach;ARL;n
schoonhoven2009;qrei;Wiley;Shewhart;;Variable;;n;n;Normal, t, Logistic, Exponential, Chi-squared;(Monte Carlo) Simulation;ARL, FAR;n
shen2013-wiley;nrl;Wiley;EWMA;;Attribute;;n;n;Poisson;(Monte Carlo) Simulation, Markov Chain Approach;ARL, FAR;n
tran2015;qrei;Wiley;EWMA;;Variable;;y;n;Normal;Markov Chain Approach;ARL, overall;n
tran2017;qrei;Wiley;Shewhart;;Variable;;n;n;Normal;Markov Chain Approach;ARL, overall;n
tran2018;qrei;Wiley;Shewhart, EWMA;;Variable;;n;n;Normal;Markov Chain Approach, Analytically;ARL, overall;n
vanhatalo2009;qrei;Wiley;Shewhart;;Variable;;y;y;-;not mentioned;-;n
vanhatalo2015;qrei;Wiley;Shewhart;;Variable;Autocorrelated;y;y;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
yamauchi2019;qrei;Wiley;Shewhart, EWMA;;Attribute;;y;n;Poisson;(Monte Carlo) Simulation;ARL;n
yeong2011;qrei;Wiley;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;(Monte Carlo) Simulation;ARL;y
zaman2016;qrei;Wiley;CUSUM, EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
zaman2017;qrei;Wiley;CUSUM, EWMA;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
zhang2011-wiley;qrei;Wiley;Shewhart;Adaptive;Variable;;n;n;Normal;Analytically;ATS;n
zhang2013;qrei;Wiley;CUSUM;;Variable;TBE;n;n;Exponential;Markov Chain Approach;ARL;n
zhang2016-wiley;nrl;Wiley;EWMA;;Variable;;n;n;Weibull;(Monte Carlo) Simulation;ARL, FAR, comparison;n
zou2012;nrl;Wiley;EWMA;;Variable;;y;y;Normal, t, Gamma, Chi-squared;Markov Chain Approach;ARL;n
